"","title","authors","abstract","categories","submitted","id","doi"
"28","Generalized Affine Coherent States: A Natural Framework for Quantization
  of Metric-like Variables","Glenn Watson|John R. Klauder","  Affine variables, which have the virtue of preserving the positive-definite
character of matrix-like objects, have been suggested as replacements for the
canonical variables of standard quantization schemes, especially in the context
of quantum gravity. We develop the kinematics of such variables, discussing
suitable coherent states, their associated resolution of unity, polarizations,
and finally the realization of the coherent-state overlap function in terms of
suitable path-integral formulations.
","quant-ph|gr-qc|hep-th|math-ph|math.MP","2000-01-10 08:59:03","quant-ph/0001026v1","10.1063/1.1286033"
"29","New nonlinear coherent states and some of their nonclassical properties","B. Roy|P. Roy","  We construct a displacement operator type nonlinear coherent state and
examine some of its properties. In particular it is shown that this nonlinear
coherent state exhibits nonclassical properties like squeezing and
sub-Poissonian behaviour.
","quant-ph","2000-01-10 09:37:12","quant-ph/0001027v1","10.1088/1464-4266/2/1/311"
"30","Generalized intelligent states and SU(1,1) and SU(2) squeezing","D. A. Trifonov","  A sufficient condition for a state |\psi> to minimize the
Robertson-Schr\""{o}dinger uncertainty relation for two observables A and B is
obtained which for A with no discrete spectrum is also a necessary one. Such
states, called generalized intelligent states (GIS), exhibit arbitrarily strong
squeezing (after Eberly) of A and B. Systems of GIS for the SU(1,1) and SU(2)
groups are constructed and discussed. It is shown that SU(1,1) GIS contain all
the Perelomov coherent states (CS) and the Barut and Girardello CS while the
Bloch CS are subset of SU(2) GIS.
","quant-ph","2000-01-10 12:39:59","quant-ph/0001028v1",""
"31","From time inversion to nonlinear QED","Wei Min Jin","  In Minkowski flat space-time, it is perceived that time inversion is unitary
rather than antiunitary, with energy being a time vector changing sign under
time inversion. The Dirac equation, in the case of electromagnetic interaction,
is not invariant under unitary time inversion, giving rise to a ``Klein
paradox''. To render unitary time inversion invariance, a nonlinear wave
equation is constructed, in which the ``Klein paradox'' disappears. In the case
of Coulomb interaction, the revised nonlinear equation can be linearized to
give energy solutions for Hydrogen-like ions without singularity when nuclear
number $Z>137$, showing a reversed energy order pending for experimental tests
such as Zeeman effects. In non-relativistic limit, this nonlinear equation
reduces to nonlinear schr\""odinger equation with soliton-like solutions.
Moreover, particle conjugation and electron-proton scattering with a
nonsingular current-potential interaction are discussed. Finally the explicit
form of gauge function is found, the uniqueness of Lorentz gauge is proven and
the Lagrangian density of quantum electrodynamics (QED) is revised as well. The
implementation of unitary time inversion leads to the ultimate derivation of
nonlinear QED.
","quant-ph|gr-qc|hep-th|nlin.PS|physics.atom-ph","2000-01-11 01:52:39","quant-ph/0001029v5",""
"32","Bound states of neutral particles in external electric fields","Qiong-gui Lin","  Neutral fermions of spin $\frac 12$ with magnetic moment can interact with
electromagnetic fields through nonminimal coupling. The Dirac--Pauli equation
for such a fermion coupled to a spherically symmetric or central electric field
can be reduced to two simultaneous ordinary differential equations by
separation of variables in spherical coordinates. For a wide variety of central
electric fields, bound-state solutions of critical energy values can be found
analytically. The degeneracy of these energy levels turns out to be numerably
infinite. This reveals the possibility of condensing infinitely many fermions
into a single energy level. For radially constant and radially linear electric
fields, the system of ordinary differential equations can be completely solved,
and all bound-state solutions are obtained in closed forms. The radially
constant field supports scattering solutions as well. For radially linear
fields, more energy levels (in addition to the critical one) are infinitely
degenerate. The simultaneous presence of central magnetic and electric fields
is discussed.
","quant-ph|hep-th","2000-01-11 04:37:28","quant-ph/0001031v1","10.1103/PhysRevA.61.022101"
"33","Scattering theory from microscopic first principles","Detlef Duerr|Sheldon Goldstein|Stefan Teufel|Nino Zanghi","  We sketch a derivation of abstract scattering theory from the microscopic
first principles defined by Bohmian mechanics. We emphasize the importance of
the flux-across-surfaces theorem for the derivation, and of randomness in the
impact parameter of the initial wave function---even for an, inevitably
inadequate, orthodox derivation.
","quant-ph|math-ph|math.MP","2000-01-11 09:33:57","quant-ph/0001032v1","10.1016/S0378-4371(99)00523-3"
"34","Scattering of positronium by H, He, Ne, and Ar","P. K. Biswas|Sadhan K. Adhikari","  The low-energy scattering of ortho positronium (Ps) by H, He, Ne, and Ar
atoms has been investigated in the coupled-channel framework by using a
recently proposed time-reversal-symmetric nonlocal electron-exchange model
potential with a single parameter $C$. For H and He we use a three-Ps-state
coupled-channel model and for Ar and Ne we use a static-exchange model. The
sensitivity of the results is studied with respect to the parameter $C$.
Present low-energy cross sections for He, Ne and Ar are in good agreement with
experiment.
","physics.atom-ph|cond-mat|nucl-th|physics.atm-clus|physics.chem-ph|quant-ph","2000-01-11 14:10:23","physics/0001024v1","10.1016/S0009-2614(99)01354-8"
"35","Adiabatic Output Coupling of a Bose Gas at Finite Temperatures","S. Choi|Y. Japha|K. Burnett","  We develop a general theory of adiabatic output coupling from trapped atomic
Bose-Einstein Condensates at finite temperatures. For weak coupling, the output
rate from the condensate, and the excited levels in the trap, settles in a time
proportional to the inverse of the spectral width of the coupling to the output
modes. We discuss the properties of the output atoms in the quasi-steady-state
where the population in the trap is not appreciably depleted. We show how the
composition of the output beam, containing condensate and thermal component,
may be controlled by changing the frequency of the output coupler. This
composition determines the first and second order coherence of the output beam.
We discuss the changes in the composition of the bose gas left in the trap and
show how nonresonant output coupling can stimulate either the evaporation of
thermal excitations in the trap or the growth of non-thermal excitations, when
pairs of correlated atoms leave the condensate.
","quant-ph","2000-01-11 15:45:29","quant-ph/0001033v2","10.1103/PhysRevA.61.063606"
"36","Cubic root of Klein-Gordon equation","Mikhail S. Plyushchay|Michel Rausch de Traubenberg","  We construct new relativistic linear differential equation in $d$ dimensions
generalizing Dirac equation by employing the Clifford algebra of the cubic
polynomial associated to Klein-Gordon operator multiplied by the mass
parameter. Unlike the Dirac case where the spin content is unique and Lorentz
covariance is manifest, here the spin as well as Lorentz covariance of the
theory are related to the choice of representation of the Clifford algebra. One
of the considered explicit matrix representations gives rise to anyon-like
fields in $d=1+1$. Coupling to a U(1) gauge field is discussed and compared
with Dirac theory.
","hep-th|gr-qc|hep-ph|math-ph|math.MP|quant-ph","2000-01-11 15:58:50","hep-th/0001067v2","10.1016/S0370-2693(00)00190-8"
"37","Hardy-type experiment for the maximally entangled state: Illustrating
  the problem of subensemble postselection","Jose L. Cereceda","  By selecting a certain subensemble of joint detection events in a
two-particle interferometer arrangement, a formal nonlocality contradiction of
the Hardy type is derived for an ensemble of particle pairs configured in the
maximally entangled state. It is argued, however, that the class of experiments
exhibiting this kind of contradiction does not rule out the assumption of local
realism.
","quant-ph","2000-01-11 18:03:11","quant-ph/0001030v1","10.1016/S0375-9601(99)00762-8"
"38","Inequalities for dealing with detector inefficiencies in
  Greenberger-Horne-Zeilinger-type experiments","J. Acacio de Barros|P. Suppes","  In this article we show that the three-particle GHZ theorem can be
reformulated in terms of inequalities, allowing imperfect correlations due to
detector inefficiencies. We show quantitatively that taking into accout those
inefficiencies, the published results of the Innsbruck experiment support the
nonexistence of local hidden variables that explain the experimental result.
","quant-ph","2000-01-11 18:57:15","quant-ph/0001034v1","10.1103/PhysRevLett.84.793"
"39","Bound entanglement and continuous variables","Pawel Horodecki|Maciej Lewenstein","  We introduce the definition of generic bound entanglement for the case of
continuous variables. We provide some examples of bound entangled states for
that case, and discuss their physical sense in the context of quantum optics.
We rise the question of whether the entanglement of these states is generic. As
a byproduct we obtain a new many parameter family of bound entangled states
with positive partial transpose. We also point out that the ``entanglement
witnesses'' and positive maps revealing the corresponding bound entanglement
can be easily constructed.
","quant-ph","2000-01-11 19:34:38","quant-ph/0001035v3","10.1103/PhysRevLett.85.2657"
"40","Antibunching effect of the radiation field in a microcavity with a
  mirror undergoing heavily damping oscillation","Yu-xi Liu|Chang-pu Sun","  The interaction between the radiation field in a microcavity with a mirror
undergoing damping oscillation is investigated. Under the heavily damping
cases, the mirror variables are adiabatically eliminated.
  The the stationary conditions of the system are discussed. The small
fluctuation approximation around steady values is applied to analysis the
antibunching effect of the cavity field. The antibunching condition is given
under two limit cases.
","quant-ph","2000-01-12 05:56:45","quant-ph/0001036v1",""
"41","Hybrid exciton-polaritons in a bad microcavity containing the organic
  and inorganic quantum wells","Yu-Xi Liu|Chang-pu Sun","  We study the hybrid exciton-polaritons in a bad microcavity containing the
organic and inorganic quantum wells. The corresponding polariton states are
given. The analytical solution and the numerical result of the stationary
spectrum for the cavity field are finished
","quant-ph","2000-01-12 07:34:01","quant-ph/0001037v1","10.1088/0253-6102/51/1/01"
"42","Anharmonic oscillators energies via artificial perturbation method","Omar Mustafa|Maen Odeh","  A new pseudoperturbative (artificial in nature) methodical proposal [15] is
used to solve for Schrodinger equation with a class of phenomenologically
useful and methodically challenging anharmonice oscillator potentials
V(q)=\alpha_o q^2 + \alpha q^4. The effect of the [4,5] Pade' approximant on
the leading eigenenergy term is studied. Comparison with results from numerical
(exact) and several eligible (approximation) methods is made.
","quant-ph","2000-01-12 07:48:46","quant-ph/0001038v2","10.1007/s100510051108"
"43","Time dependence of evanescent quantum waves","J. G. Muga|M. Buttiker","  The time dependence of quantum evanescent waves generated by a point source
with an infinite or a limited frequency band is analyzed. The evanescent wave
is characterized by a forerunner (transient) related to the precise way the
source is switched on. It is followed by an asymptotic, monochromatic wave
which at long times reveals the oscillation frequency of the source. For a
source with a sharp onset the forerunner is exponentially larger than the
monochromatic solution and a transition from the transient regime to the
asymtotic regime occurs only at asymptotically large times. In this case, the
traversal time for tunneling plays already a role only in the transient regime.
To enhance the monochromatic solution compared to the forerunner we investigate
(a) frequency band limited sources and (b) the short time Fourier analysis (the
spectrogram) corresponding to a detector which is frequency band limited.
Neither of these two methods leads to a precise determination of the traversal
time. However, if they are limited to determine the traversal time only with a
precision of the traversal time itself both methods are successful: In this
case the transient behavior of the evanescent waves is at a time of the order
of the traversal time followed by a monochromatic wave which reveals the
frequency of the source.
","quant-ph|cond-mat","2000-01-12 09:51:08","quant-ph/0001039v1","10.1103/PhysRevA.62.023808"
"44","Photonic excess noise and wave localization","C. W. J. Beenakker|M. Patra|P. W. Brouwer","  This is a theory for the effect of localization on the super-Poissonian noise
of radiation propagating through an absorbing disordered waveguide.
Localization suppresses both the mean photon current I and the noise power P,
but the Fano factor P/I is found to remain unaffected. For strong absorption
the Fano factor has the universal value 1+3f/2 (with f the Bose-Einstein
function), regardless of whether the waveguide is long or short compared to the
localization length.
","cond-mat.dis-nn|quant-ph","2000-01-12 15:06:20","cond-mat/0001157v1","10.1103/PhysRevA.61.051801"
"45","First Single Bubble Sonoluminescence in Dubna","V. B. Belyaev|M. B. Miller|A. V. Sermyagin","  At the Institute in Physical-Technical Problems experiments on
sonoluminescence was started by our group at the beginning of 1998. The study
was focused at properties of the SBSL, and the aim was to find more optimum
conditions for a search for some recently predicted rare effects in SBSL-
process.
","quant-ph","2000-01-12 15:08:07","quant-ph/0001040v1",""
"46","CSL Collapse Model And Spontaneous Radiation: An Update","Philip Pearle|James Ring|Juan I. Collar|Frank T. Avignone III","  A brief review is given of the Continuous Spontaneous Localization (CSL)
model in which a classical field interacts with quantized particles to cause
dynamical wavefunction collapse. One of the model's predictions is that
particles ""spontaneously"" gain energy at a slow rate. When applied to the
excitation of a nucleon in a Ge nucleus, it is shown how a limit on the
relative collapse rates of neutron and proton could be obtained, and a rough
estimate is made from data. When applied to the spontaneous excitation of 1s
electrons in Ge, by a more detailed analysis of more accurate data than
previously given, an updated limit is obtained on the relative collapse rates
of the electron and proton, suggesting that the coupling of the field to
electrons and nucleons is mass proportional.
","quant-ph","2000-01-12 22:16:18","quant-ph/0001041v1",""
"47","Is Supersymmetric Quantum Mechanics compatible with Duality","M. Capdequi-Peyranere","  Supersymmetry applied to quantum mechanics has given new insights in various
topics of theoretical physics like analytically solvable potentials, WKB
approximation or KdV solitons. Duality plays a central role in many
supersymmetric theories such as Yang-Mills theories or strings models. We
investigate the possible existence of some duality within supersymmetric
quantum mechanics.
","quant-ph","2000-01-13 11:22:19","quant-ph/0001042v1","10.1142/S0217732399002790"
"48","Quantization of Soliton Cellular Automata","Demosthenes Ellinas|Elena P. Papadopoulou|Yiannis G. Saridakis","  A method of quantization of classical soliton cellular automata (QSCA) is put
forward that provides a description of their time evolution operator by means
of quantum circuits that involve quantum gates from which the associated
Hamiltonian describing a quantum chain model is constructed.
  The intrinsic parallelism of QSCA, a phenomenon first known from quantum
computers, is also emphasized.
","quant-ph|nlin.CG|nlin.SI","2000-01-13 11:22:35","quant-ph/0001043v1","10.2991/jnmp.2001.8.Supplement.17"
