"","title","authors","abstract","categories","submitted","id","doi"
"11","Entropy and Temperature of a Quantum Carnot Engine","C. M. Bender|D. C. Brody|B. K. Meister","  It is possible to extract work from a quantum-mechanical system whose
dynamics is governed by a time-dependent cyclic Hamiltonian. An energy bath is
required to operate such a quantum engine in place of the heat bath used to run
a conventional classical thermodynamic heat engine. The effect of the energy
bath is to maintain the expectation value of the system Hamiltonian during an
isoenergetic expansion. It is shown that the existence of such a bath leads to
equilibrium quantum states that maximise the von Neumann entropy. Quantum
analogues of certain thermodynamic relations are obtained that allow one to
define the temperature of the energy bath.
","quant-ph","2001-01-03 14:11:33","quant-ph/0101015v2","10.1098/rspa.2001.0928"
"12","Quantum Theory From Five Reasonable Axioms","Lucien Hardy","  The usual formulation of quantum theory is based on rather obscure axioms
(employing complex Hilbert spaces, Hermitean operators, and the trace rule for
calculating probabilities). In this paper it is shown that quantum theory can
be derived from five very reasonable axioms. The first four of these are
obviously consistent with both quantum theory and classical probability theory.
Axiom 5 (which requires that there exists continuous reversible transformations
between pure states) rules out classical probability theory. If Axiom 5 (or
even just the word ""continuous"" from Axiom 5) is dropped then we obtain
classical probability theory instead. This work provides some insight into the
reasons quantum theory is the way it is. For example, it explains the need for
complex numbers and where the trace formula comes from. We also gain insight
into the relationship between quantum theory and classical probability theory.
","quant-ph|hep-th","2001-01-03 17:00:37","quant-ph/0101012v4",""
"13","On Ordering of Operators in Canonical Quantization in Curved Space","E. A. Tagirov","  Ambiguities arising in different approaches (canonical, quasiclassical, path
integration) to quantization are discussed by an example of the mechanics of a
point-like particle in the Riemannian space (the geodesic dynamics). A way to
select a single rule of quantization is proposed by requirement of a
consistency of the quantum mechanics' following from the canonical and
quasiclassical approaches. This rule selects also a definition of the path
integration. A geometric interpretation of the noncovariance of the canonical
Hamilton operator of a particle with respect to the diffeomorphisms of the
Riemannian configuration space is proposed.
","quant-ph|gr-qc|math-ph|math.MP","2001-01-03 19:52:11","quant-ph/0101016v1",""
"14","Measuring the Quantum State of a Large Angular Momentum","Gerd Klose|Greg Smith|Poul S. Jessen","  We demonstrate a general method to measure the quantum state of an angular
momentum of arbitrary magnitude. The (2F+1) x (2F+1) density matrix is
completely determined from a set of Stern-Gerlach measurements with (4F+1)
different orientations of the quantization axis. We implement the protocol for
laser cooled Cesium atoms in the 6S_{1/2}(F=4) hyperfine ground state and apply
it to a variety of test states prepared by optical pumping and Larmor
precession. A comparison of input and measured states shows typical
reconstruction fidelities of about 0.95.
","quant-ph","2001-01-03 23:28:19","quant-ph/0101017v1","10.1103/PhysRevLett.86.4721"
"15","Entangled state based on nonorthogonal state","Osamu Hirota|Masahide Sasaki","  Properties of entangled states based on nonorthogonal states are clarified.
Especially, it is shown that they can have complete degree of entanglement.
","quant-ph","2001-01-04 07:35:20","quant-ph/0101018v1",""
"16","A review of Johnjoe McFadden's book ``Quantum Evolution''","Matthew J. Donald","  In ``Quantum Evolution: Life in the Multiverse'' (HarperCollins, 2000), ISBN
0-00-255948-X, 0-00-655128-9, Johnjoe McFadden makes far-reaching claims for
the importance of quantum physics in the solution of problems in biological
science. In this review, I discuss the relevance of unitary wavefunction
dynamics to biological systems, analyse the inverse quantum Zeno effect, and
argue that McFadden's use of quantum theory is deeply flawed.
","quant-ph|physics.bio-ph","2001-01-04 18:20:19","quant-ph/0101019v1",""
"17","Analytical operator solution of master equations describing
  phase-sensitive processes","A. Vidiella-Barranco|Luis M. Arevalo-Aguilar|H. Moya-Cessa","  We present a method of solving master equations which may describe, in their
most general form, phase sensitive processes such as decay and amplification.
We make use of the superoperator technique.
","quant-ph","2001-01-04 20:15:17","quant-ph/0101021v1","10.1142/S0217979201004460"
"18","Nonlinear optics with less than one photon","K. J. Resch|J. S. Lundeen|A. M. Steinberg","  We demonstrate suppression and enhancement of spontaneous parametric down-
conversion via quantum interference with two weak fields from a local
oscillator (LO). Pairs of LO photons are observed to upconvert with high
efficiency for appropriate phase settings, exhibiting an effective nonlinearity
enhanced by at least 10 orders of magnitude. This constitutes a two-photon
switch, and promises to be useful for a variety of nonlinear optical effects at
the quantum level.
","quant-ph","2001-01-04 20:40:08","quant-ph/0101020v1","10.1103/PhysRevLett.87.123603"
"19","Do Quantum Nonlocal Correlations Imply Information Transfer?- A Simply
  Quantum Optical Test","R. Srikanth","  In order to understand whether nonlocality implies information transfer, a
quantum optical experimental test, well within the scope of current technology,
is proposed. It is essentially a delayed choice experiment as applied to
entangled particles. The basic idea is: given two observers sharing
position-momentum entangled photons, one party chooses whether she measures
position or momentum of her photons after the particles leave the source. The
other party should infer her action by checking for the absence or presence of
characteristic interference patterns after subjecting his particles to certain
optical pre-processing. An occurance of signal transmission is attributed to
the breakdown of complementarity in incomplete measurements. Since the result
implies that the transferred information is classical, we discuss some
propositions for safeguarding causality.
","quant-ph","2001-01-04 21:15:46","quant-ph/0101023v1",""
"20","Supersymmetric and Shape-Invariant Generalization for Nonresonant and
  Intensity-Dependent Jaynes-Cummings Systems","A. N. F. Aleixo|A. B. Balantekin|M. A. Candido Ribeiro","  A class of shape-invariant bound-state problems which represent transition in
a two-level system introduced earlier are generalized to include arbitrary
energy splittings between the two levels as well as intensity-dependent
interactions. We show that the couple-channel Hamiltonians obtained correspond
to the generalizations of the nonresonant and intensity-dependent nonresonant
Jaynes-Cummings Hamiltonians, widely used in quantized theories of laser. In
this general context, we determine the eigenstates, eigenvalues, the time
evolution matrix and the population inversion matrix factor.
","quant-ph|hep-th","2001-01-04 21:40:50","quant-ph/0101024v1","10.1088/0305-4470/34/6/304"
"21","Topological Quantum Computation","Michael H. Freedman|Alexei Kitaev|Michael J. Larsen|Zhenghan Wang","  The theory of quantum computation can be constructed from the abstract study
of anyonic systems. In mathematical terms, these are unitary topological
modular functors. They underlie the Jones polynomial and arise in
Witten-Chern-Simons theory. The braiding and fusion of anyonic excitations in
quantum Hall electron liquids and 2D-magnets are modeled by modular functors,
opening a new possibility for the realization of quantum computers. The chief
advantage of anyonic computation would be physical error correction: An error
rate scaling like $e^{-\a\l}$, where $\l$ is a length scale, and $\alpha$ is
some positive constant. In contrast, the $\q$presumptive"" qubit-model of
quantum computation, which repairs errors combinatorically, requires a
fantastically low initial error rate (about $10^{-4}$) before computation can
be stabilized.
","quant-ph|math.GT","2001-01-04 22:03:01","quant-ph/0101025v2",""
"22","Do Quantum Nonlocal Correlations Imply Information Transfer?- A Gedanken
  Experiment","R. Srikanth","  We study a generalization of the original Einstein-Podolsky-Rosen thought
experiment. It is essentially a delayed choice experiment as applied to
entangled particles. The basic idea is: given two observers sharing
position-momentum entangled photons, one party chooses whether she measures
position or momentum of her photons after the particles leave the source. The
other party should infer her action by checking for the absence or presence of
characteristic interference patterns after subjecting his particles to certain
optical pre-processing. An occurance of apparent signaling is attributed to the
difficulty in treating single photons simultaneously at a quantum mechanical
and quantum electrodynamic level, as required by the experiment, and points to
the need for a careful study of an aspect of the foundations of quantum
mechanics and electrodynamics.
","quant-ph","2001-01-04 22:23:17","quant-ph/0101022v2",""
"23","Quantum Information Processing with Ferroelectrically Coupled Quantum
  Dots","Jeremy Levy","  I describe a proposal to construct a quantum information processor using
ferroelectrically coupled Ge/Si quantum dots. The spin of single electrons form
the fundamental qubits. Small (<10 nm diameter) Ge quantum dots are optically
excited to create spin polarized electrons in Si. The static polarization of an
epitaxial ferroelectric thin film confines electrons laterally in the
semiconductor; spin interactions between nearest neighbor electrons are
mediated by the nonlinear process of optical rectification. Single qubit
operations are achieved through ""g-factor engineering"" in the Ge/Si structures;
spin-spin interactions occur through Heisenberg exchange, controlled by
ferroelectric gates. A method for reading out the final state, while required
for quantum computing, is not described; electronic approaches involving single
electron transistors may prove fruitful in satisfying this requirement.
","quant-ph|cond-mat","2001-01-05 03:30:05","quant-ph/0101026v1","10.1103/PhysRevA.64.052306"
"24","Maximum-likelihood estimation of quantum measurement","Jaromir Fiurasek","  Maximum likelihood estimation is applied to the determination of an unknown
quantum measurement. The measuring apparatus performs measurements on many
different quantum states and the positive operator-valued measures governing
the measurement statistics are then inferred from the collected data via
Maximum-likelihood principle. In contrast to the procedures based on linear
inversion, our approach always provides physically sensible result. We
illustrate the method on the case of Stern-Gerlach apparatus.
","quant-ph","2001-01-05 14:01:47","quant-ph/0101027v2","10.1103/PhysRevA.64.024102"
"25","Decomposing Finite Abelian Groups","Kevin K. H. Cheung|Michele Mosca","  This paper describes a quantum algorithm for efficiently decomposing finite
Abelian groups. Such a decomposition is needed in order to apply the Abelian
hidden subgroup algorithm. Such a decomposition (assuming the Generalized
Riemann Hypothesis) also leads to an efficient algorithm for computing class
numbers (known to be at least as difficult as factoring).
","cs.DS|quant-ph|F.1","2001-01-05 15:32:16","cs/0101004v1",""
"26","Quantum Logic","M. L. Dalla Chiara|R. Giuntini","  We investigate some forms of quantum logic arising from the standard and the
unsharp approach.
","quant-ph","2001-01-05 15:44:14","quant-ph/0101028v2",""
"27","NMR Simulation of an Eight-State Quantum System","A. K. Khitrin|B. M. Fung","  The propagation of excitation along a one-dimensional chain of atoms is
simulated by means of NMR. The physical system used as an analog quantum
computer is a nucleus of 133-Cs (spin 7/2) in a liquid crystalline matrix. The
Hamiltonian of migration is simulated by using a special 7-frequency pulse, and
the dynamics is monitored by following the transfer of population from one of
the 8 spin energy levels to the other.
","quant-ph","2001-01-05 23:23:11","quant-ph/0101029v1","10.1103/PhysRevA.64.032306"
"28","On the measure of entanglement","Adam W. Majewski","  In this paper we present the novel qualities of entanglement of formation for
general (so also infinite dimensional) quantum systems.
  A major benefit of our presentation is a rigorous description of entanglement
of formation. In particular, we indicate how this description may be used to
examine optimal decompositions. Illustrative examples showing the method of
estimation of entanglement of formation are givem\n.
","quant-ph","2001-01-07 11:01:45","quant-ph/0101030v3",""
"29","Computer Model of Quantum Zeno Effect in Spontaneous Decay with Distant
  Detector","Alexander D. Panov","  A numerical model of spontaneous decay continuously monitored by a distant
detector of emitted particles is constructed. It is shown that there is no
quantum Zeno effect in such quantum measurement if the interaction between
emitted particle and detector is short-range and the mass of emitted particle
is not zero.
","quant-ph","2001-01-07 11:53:25","quant-ph/0101031v1","10.1016/S0375-9601(01)00094-9"
"30","Evolution of entanglement for spin-flip dynamics","S. Koziel|W. A. Majewski","  A model of evolution of bipartite quantum state entanglement is studied. It
involves recently introduced quantum block spin-flip dynamics on a lattice. We
find that for initially separable states the considered evolution leads, in
general, to entangled states. We also present a complete characterization of
two-point correlation functions for that type of dynamics to confirm
enhancement of quantum correlations for the considered system.
","quant-ph","2001-01-07 12:15:43","quant-ph/0101033v3",""
"31","Implementation of the Five Qubit Error Correction Benchmark","E. Knill|R. Laflamme|R. Martinez|C. Negrevergne","  The smallest quantum code that can correct all one-qubit errors is based on
five qubits. We experimentally implemented the encoding, decoding and
error-correction quantum networks using nuclear magnetic resonance on a five
spin subsystem of labeled crotonic acid. The ability to correct each error was
verified by tomography of the process. The use of error-correction for
benchmarking quantum networks is discussed, and we infer that the fidelity
achieved in our experiment is sufficient for preserving entanglement.
","quant-ph","2001-01-07 21:41:51","quant-ph/0101034v1","10.1103/PhysRevLett.86.5811"
"32","Formation and Dynamics of a Schrödinger-Cat State in Continuous
  Quantum Measurement","G. P. Berman|F. Borgonovi|G. Chapline|S. A. Gurvitz|P. C. Hammel|D. V. Pelekhov|A. Suter|V. I. Tsifrinovich","  We consider the process of a single-spin measurement using magnetic resonance
force microscopy (MRFM) as an example of a truly continuous measurement in
quantum mechanics. This technique is also important for different applications,
including a measurement of a qubit state in quantum computation. The
measurement takes place through the interaction of a single spin with a
quasi-classical cantilever, modeled by a quantum oscillator in a coherent state
in a quasi-classical region of parameters. The entire system is treated
rigorously within the framework of the Schr\""odinger equation, without any
artificial assumptions. Computer simulations of the spin-cantilever dynamics,
where the spin is continuously rotated by means of cyclic adiabatic inversion,
show that the cantilever evolves into a Schr\""odinger-cat state: the
probability distribution for the cantilever position develops two asymmetric
peaks that quasi-periodically appear and vanish. For a many-spin system our
equations reduce to the classical equations of motion, and we accurately
describe conventional MRFM experiments involving cyclic adiabatic inversion of
the spin system. We surmise that the interaction of the cantilever with the
environment would lead to a collapse of the wave function; however, we show
that in such a case the spin does not jump into a spin eigenstate.
","quant-ph","2001-01-07 23:35:25","quant-ph/0101035v1",""
"33","Cavity-damping-induced transitions in a driven atom-cavity system","Hyunchul Nha|Kyungwon An","  We investigate the fluorescence spectrum of a two-level atom in a cavity when
the atom is driven by a classical field. We show that forbidden dipole
transitions in the Jaynes-Cummings Ladder structure are induced in the presence
of the cavity damping, which deteriorates the degree of otherwise perfect
destructive interference among the transition channels. With the larger cavity
decay, these transitions are more enhanced.
","quant-ph","2001-01-08 03:10:50","quant-ph/0101036v1","10.1364/OL.26.000923"
"34","Zeno dynamics yields ordinary constraints","P. Facchi|S. Pascazio|A. Scardicchio|L. S. Schulman","  The dynamics of a quantum system undergoing frequent measurements (quantum
Zeno effect) is investigated. Using asymptotic analysis, the system is found to
evolve unitarily in a proper subspace of the total Hilbert space. For spatial
projections, the generator of the ""Zeno dynamics"" is the Hamiltonian with
Dirichlet boundary conditions.
","quant-ph|cond-mat.mes-hall|cond-mat.stat-mech|math-ph|math.MP|physics.atom-ph","2001-01-08 14:21:11","quant-ph/0101037v1","10.1103/PhysRevA.65.012108"
"35","On Fractional Supersymmetric Quantum Mechanics: The Fractional
  Supersymmetric Oscillator","M. Daoud|M. R. Kibler","  The Hamiltonian for a fractional supersymmetric oscillator is derived from
three approaches. The first one is based on a decomposition in which a Q-uon
gives rise to an ordinary boson and a k-fermion (a k-fermion being an object
interpolating between boson and fermion). The second one starts from a
generalized Weyl-Heisenberg algebra. Finally, the third one relies on the
quantum algebra Uq(sl(2)) where q is a root of unity.
","math-ph|hep-th|math.MP|quant-ph","2001-01-08 17:54:39","math-ph/0101009v1","10.1142/9789812811479_0046"
"36","Detecting Quantum Entanglement","Barbara M. Terhal","  We review the criteria for separability and quantum entanglement, both in a
bipartite as well as a multipartite setting. We discuss Bell inequalities,
entanglement witnesses, entropic inequalities, bound entanglement and several
features of multipartite entanglement. We indicate how these criteria bear on
the experimental detection of quantum entanglement.
","quant-ph","2001-01-08 18:44:09","quant-ph/0101032v1",""
"37","Spin-based quantum computation in multielectron quantum dots","Xuedong Hu|S. Das Sarma","  In a quantum computer the hardware and software are intrinsically connected
because the quantum Hamiltonian (or more precisely its time development) is the
code that runs the computer. We demonstrate this subtle and crucial
relationship by considering the example of electron-spin-based solid state
quantum computer in semiconductor quantum dots. We show that multielectron
quantum dots with one valence electron in the outermost shell do not behave
simply as an effective single spin system unless special conditions are
satisfied. Our work compellingly demonstrates that a delicate synergy between
theory and experiment (between software and hardware) is essential for
constructing a quantum computer.
","cond-mat.mes-hall|quant-ph","2001-01-08 20:36:16","cond-mat/0101102v2","10.1103/PhysRevA.64.042312"
"38","Non-adiabatic conditional geometric phase shift with NMR","Wang Xiang-Bin|Matsumoto Keiji","  Conditional geometric phase shift gate, which is fault tolerate to certain
errors due to its geometric property, is made by NMR technique recently under
adiabatic condition. By the adiabatic requirement, the result is inexact unless
the Hamiltonian changes extremely slowly in the process. However, in quantum
computation, everything has to be completed within the decoherence time. High
running speed of every gate in quantum computation is demanded because the
power of quantum computer can be exponentially proportional to the maximum
number of logic gate operation that can be taken sequentially within the
decoherence time. Adiabatic condition makes any fast conditional Berry
phase(cyclic adiabatic geometric phase) shift gate impossible. Here we show
that by using a new designed sequence of simple operations with an additional
vertical magnetic field, the conditional geometric phase shift can be done
non-adiabatically. Therefore geometric quantum computation can be done in the
same speed level of usual quantum computation.
","quant-ph","2001-01-09 13:59:50","quant-ph/0101038v6","10.1103/PhysRevLett.87.097901"
"39","Quantum effects after decoherence in a quenched phase transition","Nuno D. Antunes|Fernando C. Lombardo|Diana Monteoliva","  We study a quantum mechanical toy model that mimics some features of a
quenched phase transition. Both by virtue of a time-dependent Hamiltonian or by
changing the temperature of the bath we are able to show that even after
classicalization has been reached, the system may display quantum behaviour
again. We explain this behaviour in terms of simple non-linear analysis and
estimate relevant time scales that match the results of numerical simulations
of the master-equation. This opens new possibilities both in the study of
quantum effects in non-equilibrium phase transitions and in general
time-dependent problems where quantum effects may be relevant even after
decoherence has been completed.
","quant-ph|cond-mat|hep-ph","2001-01-09 14:15:58","quant-ph/0101039v2","10.1103/PhysRevE.64.066118"
"40","Decoherence in chaotic and integrable systems: A random matrix approach","T. Gorin|T. H. Seligman","  In order to analyze the effect of chaos or order on the rate of decoherence
in a subsystem we aim to distinguish effects of the two types of dynamics from
those depending on the choice of the wave packet. To isolate the former we
introduce a random matrix model that permits to vary the coupling strength
between the subsystems. The case of strong coupling is analyzed in detail, and
we find at intermediate times a weak effect of spectral correlations that is
reminiscent of the correlation hole.
","nlin.CD|cond-mat|quant-ph","2001-01-09 19:34:01","nlin/0101018v1",""
"41","Continued fraction representation of quantum mechanical Green's
  operators","Balázs Kónya","  In this work we have presented a rather general and easy-to-apply method for
discrete Hilbert space representation of quantum mechanical Green's operators.
We have shown that if in some discrete Hilbert space basis representation the
Hamiltonian takes an infinite symmetric tridiagonal, i.e. Jacobi-matrix form
the corresponding Green's matrix can be calculated on the whole complex energy
plane by a continued fraction. The procedure necessitates only the analytic
calculation of the Hamiltonian matrix elements, which are used to construct the
coefficients of the continued fraction. This continued fraction representation
of the Green's operator was shown to be convergent for the bound state energy
region. The theory of analytic continuation of continued fractions was utilized
to extend the representation to the whole complex energy plane. The presented
method provides a simple, easily applicable and analytically correct recipe for
calculating discrete basis representation of Green's operators.
","quant-ph","2001-01-10 08:44:23","quant-ph/0101040v1",""
"42","Individual consistency of 2-events quantum histories","Giuseppe Nistico'|Roberto Beneduci","  We introduce a new notion of consistency for 2-events quantum histories,
based on the concept of mirror projection. Contrary to all notions of
consistency so far introduced, our consistency, named self-decoherence, is an
individual property, i.e., it can be attributed to every single sample of the
physical system. Furthermore, self-decoherence forbids contrary inferences.
","quant-ph","2001-01-10 10:36:18","quant-ph/0101041v2",""
"43","A Concentration/Purification Scheme for Two Partially Entangled Photon
  Pairs","Takashi Yamamoto|Masato Koashi|Nobuyuki Imoto","  An experimental scheme for concentrating entanglement in partially entangled
photon pairs is proposed. In this scheme, two separated parties obtain one
maximally entangled photon pair from previously shared two partially entangled
photon pairs by local operations and classical communication. A practical
realization of the proposed scheme is discussed, which uses imperfect photon
detectors and spontaneous parametric down-conversion as a photon source. This
scheme also works for purifying a class of mixed states.
","quant-ph","2001-01-10 14:39:28","quant-ph/0101042v1","10.1103/PhysRevA.64.012304"
"44","Relativistic Gamow Vectors I Derivation from Poles of the S-Matrix","A. Bohm|H. Kaldass|S. Wickramasekara","  A state vector description for relativistic resonances is derived from the
first order pole of the $j$-th partial $S$-matrix at the invariant square mass
value $\sm_R=(m-i\Gamma/2)^2$ in the second sheet of the Riemann energy
surface. To associate a ket, called Gamow vector, to the pole, we use the
generalized eigenvectors of the four-velocity operators in place of the
customary momentum eigenkets of Wigner, and we replace the conventional Hilbert
space assumptions for the in- and out-scattering states with the new hypothesis
that in- and out-states are described by two different Hardy spaces with
complementary analyticity properties. The Gamow vectors have the following
properties:
  - They are simultaneous generalized eigenvectors of the four velocity
operators with real eigenvalues and of the self-adjoint invariant mass operator
$M=(P_\mu P^\mu)^{1/2}$ with complex eigenvalue $\sqrt{\sm_R}$.
  - They have a Breit-Wigner distribution in the invariant square mass variable
$\sm$ and lead to an exactly exponential law for the decay rates and
probabilities.
","hep-th|math-ph|math.MP|quant-ph","2001-01-11 00:14:13","hep-th/0101063v1",""
"45","Efficient quantum key distribution scheme with nonmaximally entangled
  states","Peng Xue|Chuan-Feng Li|Guang-Can Guo","  We propose an efficient quantum key distribution scheme based on
entanglement. The sender chooses pairs of photons in one of the two equivalent
nonmaximally entangled states randomly, and sends a sequence of photons from
each pair to the receiver. They choose from the various bases independently but
with substantially different probabilities, thus reducing the fraction of
discarded data, and a significant gain in efficiency is achieved. We then show
that such a refined data analysis guarantees the security of our scheme against
a biased eavesdropping strategy.
","quant-ph","2001-01-11 02:44:59","quant-ph/0101043v1","10.1103/PhysRevA.64.032305"
